"Burned","Season_Year"
"18","1999"
"19","1999"
"20","1999"
"21","1999"
"22","1999"
"23","1999"
"24","1999"
"34","1999"
"35","1999"
"36","1999"
"37","1999"
"53","1999"
"54","1999"
"61","1999"
"62","1999"
"63","1999"
"64","1999"
"65","1999"
"66","1999"
"67","1999"
"68","1999"
"69","1999"
"70","1999"
"71","1999"
"72","1999"
"73","1999"
"74","1999"
"76","1999"
"77","1999"
"78","1999"
"79","1999"
"80","1999"
,
"34","2011"
"36","2011"
"37","2011"
,
"10","fall 05"
"11","fall 05"
"12","fall 05"
"34","fall 04"
"35","fall 04"
"36","fall 04"
"37","fall 04"
"19","fall 04"
"17","1999"
