"ID","Site","Grazing","Year Ended"
1,1,"Ungrazed","2001"
2,2,"Ungrazed","2001"
3,3,"Ungrazed","2001"
4,4,"Ungrazed","2001"
5,5,"Ungrazed","2001"
6,6,"Ungrazed","2001"
7,7,"Grazed","2001"
8,8,"Grazed","2001"
9,9,"Grazed","2001"
10,10,"Grazed","2001"
11,11,"Grazed","2001"
12,12,"Grazed","2001"
13,13,"Grazed","2001"
14,14,"Grazed","2001"
15,15,"Grazed","2001"
16,16,"Grazed","2001"
17,17,"Grazed","2001"
18,18,"Grazed","2001"
19,19,"Grazed","2001"
20,20,"Grazed","2001"
21,21,"Ungrazed","2001"
22,22,"Ungrazed","2001"
23,23,"Ungrazed","2001"
24,24,"Ungrazed","2001"
25,25,"Ungrazed","2001"
26,26,"Ungrazed","2001"
27,27,"Ungrazed","2001"
28,28,"Ungrazed","2001"
29,29,"Ungrazed","2001"
30,30,"Ungrazed","2001"
31,31,"Ungrazed","2001"
32,32,"Ungrazed","2001"
33,33,"Ungrazed","2001"
34,34,"Grazed","2001"
35,35,"Grazed","2001"
36,36,"Grazed","2001"
37,37,"Grazed","2001"
38,38,"Grazed","2001"
39,39,"Grazed","2001"
40,40,"Grazed","2001"
41,41,"Grazed","2001"
42,42,"Grazed","2001"
43,43,"Grazed","2001"
44,44,"Ungrazed","2001"
45,45,"Ungrazed","2001"
46,46,"Ungrazed","2001"
47,47,"Ungrazed","2001"
48,48,"Ungrazed","2001"
49,49,"Ungrazed","2001"
50,50,"Ungrazed","2001"
51,51,"Ungrazed","2001"
52,52,"Ungrazed","2001"
53,53,"Ungrazed","2001"
54,54,"Ungrazed","2001"
55,55,"Ungrazed","2001"
56,56,"Ungrazed","2001"
57,57,"Ungrazed","2001"
58,58,"Ungrazed","2001"
59,59,"Ungrazed","2001"
60,60,"Ungrazed","2001"
61,61,"Grazed","2001"
62,62,"Grazed","2001"
63,63,"Grazed","2001"
64,64,"Grazed","2001"
65,65,"Grazed","2001"
66,66,"Grazed","2001"
67,67,"Ungrazed","2001"
68,68,"Ungrazed","2001"
69,69,"Ungrazed","2001"
70,70,"Ungrazed","2001"
71,71,"Ungrazed","2001"
72,72,"Ungrazed","2001"
73,73,"Ungrazed","2001"
74,74,"Ungrazed","2001"
75,75,"Ungrazed","2001"
76,76,"Ungrazed","2001"
77,77,"Grazed","2001"
78,78,"Grazed","2001"
79,79,"Grazed","2001"
80,80,"Grazed","2001"
81,81,"Grazed","2001"
82,82,"Ungrazed","2001"
83,83,"Ungrazed","2001"
84,84,"Grazed","2001"
85,85,"Ungrazed","2001"
86,86,"Grazed","2001"
87,87,"Ungrazed","2001"
88,88,"Grazed","2001"
89,89,"Grazed","2001"
90,90,"Grazed","2001"
91,91,"Ungrazed","2001"
92,92,"Ungrazed","2001"
93,93,"Ungrazed","2001"
94,94,"Ungrazed","2001"
95,95,"Ungrazed","2001"
96,96,"Ungrazed","2001"
97,97,"Ungrazed","2001"
98,98,"Grazed","2001"
99,99,"Grazed","2001"
100,100,"Grazed","2001"
