Species1,Species2,Species3,Species4,ID,Notes,Merged in Database
Trifolium gracilentum,Trifolium bifidum,Trifolium albopurpureum,Trifolium variegatum,1,*particularly at low densities when not in flower...,No
Sonchus spp,Lactuca spp,Lactuca saligna,Lactuca serriola,2,,Yes
Avena barbata,Avena fatua,,,4,,Yes
Centaurea melitensis,Centaurea solstitalis,,,5,*particularly at low densities when not in flower...,No
Cryptantha spp.,Cryptantha flaccida,Cryptantha hispidula,,6,,Yes
Filago gallica,Micropus californicus,,,7,,No
Vulpia spp,,,,8,,No
Torilis arvensis,Torilis nodosa,,,9,,No
Lotus spp.,,,,10,*particularly at low densities when not in flower...,No
Lupinus bicolor,Lupinus nanus,,,11,,Yes
Hesperolinen spp.,,,,12,*particularly at low densities when not in flower...,No
Bromus diandrus,Bromus madritensis,,,,Mostly an issue in 2011,No
