Site/Project: McLaughlin 80 sites,,,,
Experiment: Temporal stability,,,,
"Date: Data collected 2009-2010, analyzed 2011",,,,
Data description: Scores from principal component analyses of grassland species traits with and without annual grasses,,,,
Protocols: None,,,,
CVS file & path,,,,
Names of data takers: Analyzed by Barbara Fernandez-Going,,,,
"Column info: Site (1-80), PC1 and PC2 with annual grasses, PC1 and PC2 without annual grasses",,,,
"Definitions & Abbreviations: PC1=principal component axis 1, PC2= principal component axis 2, ag=with annual grasses, noag=without annual grasses",,,,
site,trait_PC1_ag,trait_PC2_ag,trait_PC1_noag,trait_PC2_noag
1,-0.758287953,1.509810945,-1.241193961,1.033447744
2,0.295237634,-1.314132127,-1.491880219,0.43752324
3,-0.614988074,-1.631365688,-1.854864411,-0.527082055
4,-0.457877992,0.459483989,-1.511162297,2.48739129
5,1.423243886,2.22084834,0.685456881,2.794301978
6,-1.757176762,0.463264166,-4.796820585,1.303923788
7,-0.125188112,-0.436375662,-0.52883698,-0.02404768
8,-0.722396351,0.125570626,0.366344442,0.266351068
9,0.094080556,-0.484517801,-1.106813779,0.714382062
10,-1.281320484,-1.121153023,-0.965598313,-0.964925764
11,-1.234857934,-0.36777963,-2.413202091,0.062876707
12,0.080166404,-1.73571967,-0.354053885,-0.741532621
13,1.09323598,-2.693351616,-0.611862811,-0.685254679
14,0.466528182,-1.460344181,-1.036839602,0.082991152
15,0.314326058,1.19289881,0.664542861,1.130560279
16,-1.074183754,-0.989705251,-2.347873244,-0.308917742
17,-1.326010662,-0.388438844,-2.347439877,-0.580527631
18,-1.377553289,-1.751312377,-1.455937845,-0.907872409
19,0.161910189,-0.317770265,0.090317147,0.849271021
20,3.404343945,1.611550779,1.430431732,4.867233669
21,-1.365223436,-0.195106616,-3.143528408,0.276102341
22,-0.190472806,-0.128379213,-0.207011713,0.523097075
23,-1.294702437,0.388427859,-1.15121432,0.684806625
24,0.088372251,-0.212595664,0.029700958,0.523210482
25,-0.314341485,0.297611463,0.255317484,-0.920666809
26,-0.576083774,-2.542215557,-1.415565668,-1.121811089
27,0.146383377,-2.862335397,-0.909087453,-1.013320311
28,0.334338747,-2.81602344,-0.574031208,-1.064191548
29,-0.153789517,-1.754107955,-1.275655273,-0.232589184
30,0.314795823,-1.654241155,-1.023113455,-0.081364775
31,0.115256552,-2.018005095,0.10654634,-0.913216845
32,0.645978022,0.689810635,1.683707504,0.266724692
33,-0.190906086,-1.346638943,-2.08767846,0.254277201
34,5.122930378,0.713789318,1.643387136,2.408311472
35,2.115467789,-0.077420599,1.380836012,0.857136064
36,2.036405976,0.244688934,0.870673601,1.180585745
37,1.705139056,-0.177494879,1.265281823,0.436295566
38,-0.115626568,-0.439866256,1.880546389,-0.755494686
39,-2.776713547,1.410685547,1.65754648,-0.833711396
40,-1.004151145,-0.217387974,0.683288679,-0.945987015
41,2.296264754,-0.170293809,0.767811115,-1.014338347
42,-0.349758374,0.871564633,1.728389151,-0.660753428
43,1.372907959,0.788245584,3.847870585,-0.448704583
44,-1.032132711,0.908374235,-0.951151128,1.008514888
45,-1.052903949,-0.401673809,-0.909347385,-0.272816731
46,-1.048460264,-0.058558028,-2.486831384,0.561191297
47,-0.649711973,0.774002682,0.571207521,0.103357503
48,-0.869764423,-1.208112162,-1.245832556,-0.594743851
49,-0.482061625,-1.296384859,-1.301080012,-0.540095002
50,2.539771867,0.858348911,1.148877719,-0.387875048
51,0.560607375,0.262391667,1.325504126,-0.913891246
52,-0.43693392,0.670417004,0.981820645,-0.834619241
53,2.247599522,0.773883319,2.402992141,1.546604579
54,1.939951846,-0.360334268,0.889248671,-0.373158646
55,0.918123538,-1.065095439,-1.529823296,1.103734561
56,-0.509856204,-1.118569288,-0.323778828,-1.435932248
57,-1.763277472,-0.203242068,-0.617029675,-1.165008412
58,-0.886417815,0.70108504,2.70368711,-1.170540352
59,-0.800951584,0.848253235,1.679802319,-0.324771701
60,-1.987601484,1.439669821,1.227869753,-1.122195685
61,-0.553300616,1.771441072,0.824162223,2.754746005
62,-0.666192718,0.376301778,1.171017789,-1.525360611
63,-2.037322921,1.1578513,-1.293688029,-0.483748202
64,-1.831334368,0.767417556,0.286541832,-0.930715916
65,-0.124253455,1.343182057,2.426219003,-0.973895414
66,-0.418603208,1.58061744,0.116842516,-0.878647355
67,3.954397157,0.810325572,1.115980924,-0.407304956
68,-0.5127792,0.392116339,0.034940714,-0.05570494
69,2.78508935,1.169837799,1.322753883,1.964247056
70,0.46427136,0.084311853,1.45642609,-1.119334702
71,-1.426479426,0.754398105,-0.603378716,-0.690025002
72,-0.012194846,0.99325556,-0.296896078,0.070233721
73,0.696888452,-0.546962803,0.968497727,-0.583597602
74,1.801838415,1.188297261,1.287367084,2.46090784
75,0.87506118,0.352046414,0.532862524,0.270094721
76,3.197747354,-0.123276667,1.788256352,0.076827199
77,-1.19874293,0.802912744,1.069379159,-1.055087812
78,-1.042268186,0.355962519,0.45343076,-1.343207608
79,-2.849518198,1.624960783,-1.061633458,-0.777535724
80,-2.353986898,1.936374383,-0.351948499,-0.655136024
